Date,Operation,Amount,Cryptocurrency,FIAT value,FIAT currency,Transaction ID,Withdrawal address,Reference
"2021-02-11T11:51:30+01:00","Staking reward","0.29108678","DFI","1.0257723475132","USD","","","de294ae6-bb01-497c-a9eb-275910b68f73"
"2021-02-11T08:48:41+01:00","Staking reward","0.27311222","DFI","0.9386976246288","USD","","","5c86d5bd-695b-4b2e-8089-376975fe60ea"
"2021-02-11T05:46:24+01:00","Staking reward","0.28703544","DFI","0.9898646776752","USD","","","0ece7752-85a2-4092-b54c-152149c50d93"
"2021-02-11T02:44:21+01:00","Staking reward","0.28899769","DFI","1.0071482797193","USD","","","decb2d29-da8d-4193-9a9b-b4f4f05822ba"
"2021-02-10T23:42:06+01:00","Staking reward","0.30690138","DFI","1.077515400111","USD","","","4f269afc-e622-47cb-90a2-b66a1e6a305f"
"2021-02-10T20:39:58+01:00","Staking reward","0.307862","DFI","1.066895761","USD","","","a93907cb-b9db-479e-88f4-c6cf0e4ea1cc"
"2021-02-10T17:37:42+01:00","Staking reward","0.29388158","DFI","1.0192136464138","USD","","","93f73f70-07d1-4685-9957-ee68c95c4218"
"2021-02-10T14:35:40+01:00","Staking reward","0.29882782","DFI","1.056939057949","USD","","","3c05ae6f-937c-4d4e-a50f-ff5960abb5e5"
"2021-02-10T11:32:53+01:00","Staking reward","0.00896491","DFI","0.0331015854385","USD","","","29e17485-76e1-473a-9a00-b04f477a1716"
"2021-02-10T11:23:54+01:00","Staking reward","0.21314644","DFI","0.7892087975304","USD","","","f8338960-7f52-4fb8-9c11-4bb8fd1d17bb"
"2021-02-10T09:14:21+01:00","Staking reward","0.10457687","DFI","0.3839194678379","USD","","","e056da18-8986-48a9-b681-e439710f7090"
"2021-02-10T08:14:27+01:00","Staking reward","0.25494206","DFI","0.9225741290456","USD","","","8f264fda-519d-48c6-96c5-4a06c397d73c"
"2021-02-10T05:12:19+01:00","Staking reward","0.2808049","DFI","0.987012375206","USD","","","b17d8567-7082-47b5-8ff5-5920f2e3ed5b"
"2021-02-10T02:10:14+01:00","Staking reward","0.23995731","DFI","0.8637215381988","USD","","","844a7d00-e3e4-4c40-ab56-e65cf9d8c411"
"2021-02-09T23:41:24+01:00","Staking reward","0.31161116","DFI","1.131444541402","USD","","","e3002fef-2163-4b71-8905-96f46aeb278f"
"2021-02-09T20:39:12+01:00","Staking reward","0.31257018","DFI","1.1067578704494","USD","","","d27b3c06-b05c-44a2-9b32-6b9435883c5e"
"2021-02-09T17:37:03+01:00","Staking reward","0.27968935","DFI","0.9761158315","USD","","","567bc03f-51f4-416f-b34e-261b0e1f827a"
"2021-02-09T14:34:28+01:00","Staking reward","0.29160144","DFI","1.022106787416","USD","","","d148285f-42f3-4c89-84a9-ecba3c4494dc"
"2021-02-09T11:31:50+01:00","Staking reward","0.04279397","DFI","0.1491733603245","USD","","","21cf229b-4f32-42b1-bfac-a0ec423b1926"
"2021-02-09T11:03:20+01:00","Staking reward","0.01990371","DFI","0.0689430678093","USD","","","c0577db4-d6fe-49b3-b274-efb83ad34aa9"
"2021-02-09T10:49:36+01:00","Staking reward","0.01990371","DFI","0.0696504456627","USD","","","9dac88d8-e8ff-4ee6-86fb-86f89b709e4c"
"2021-02-09T10:44:02+01:00","Staking reward","0.01094687","DFI","0.0383809303757","USD","","","47a82b70-e765-42d6-9e7b-a344bce80d5f"
"2021-02-09T10:33:13+01:00","Staking reward","0.25275347","DFI","0.885976738391","USD","","","21072ad9-5d7a-47ac-be3b-68523d0b8e9a"
"2021-02-09T07:59:10+01:00","Staking reward","0.29650065","DFI","1.0624003740345","USD","","","8eb2789e-1ac3-408a-bee7-f9f5949ad667"
"2021-02-09T04:57:11+01:00","Staking reward","0.28651962","DFI","0.9710980828698","USD","","","d3c4ff35-3d25-4d71-ae33-cfe29ac9bd57"
"2021-02-09T01:54:50+01:00","Staking reward","0.29046986","DFI","0.9955593028626","USD","","","3f1d2437-19eb-4bd6-8bf4-3aee34d1d08a"
"2021-02-08T22:52:58+01:00","Staking reward","0.30436226","DFI","1.0169412703572","USD","","","a7be5df3-992e-4419-b772-dd3101dc4467"
